,tweet_id,retweet_count,favorite_count
81,876838120628539392,2845,18483
82,876537666061221889,4039,21343
83,876484053909872640,2029,16798
84,876120275196170240,3962,25053
85,875747767867523072,3631,22473
86,875144289856114688,4202,19678
87,875097192612077568,5199,24603
88,875021211251597312,4031,22889
89,874680097055178752,3981,24960
90,874434818259525634,12391,0
91,874296783580663808,3527,23332
92,874057562936811520,3427,20419
93,874012996292530176,8699,30562
94,873580283840344065,3381,21739
95,873337748698140672,1344,0
96,873213775632977920,1344,6412
97,872967104147763200,4621,24416
98,872820683541237760,3211,13247
99,872620804844003328,3110,18626
100,872486979161796608,7821,36640
101,872122724285648897,6953,30695
102,871879754684805121,9381,33615
103,871762521631449091,3013,18152
104,871515927908634625,2988,18159
105,871166179821445120,4955,0
106,871102520638267392,4764,18827
107,871032628920680449,3276,20465
108,870804317367881728,5342,30253
109,870726314365509632,3,106
110,870656317836468226,2233,11038
111,870374049280663552,23102,75073
112,870308999962521604,3598,19785
113,870063196459192321,7182,32864
114,869772420881756160,8807,38529
115,869702957897576449,5462,25412
116,869596645499047938,2675,14415
117,869227993411051520,3247,18409
118,868880397819494401,12458,58778
119,868639477480148993,1777,0
120,868622495443632128,4555,24003
121,868552278524837888,1777,9117
122,867900495410671616,3621,21910
123,867774946302451713,6335,30662
124,867421006826221569,2148,14553
125,867072653475098625,102,0
126,867051520902168576,6876,29129
127,866720684873056260,4180,18094
128,866686824827068416,3002,17387
129,866450705531457537,30724,110452
130,866334964761202691,12391,47294
131,866094527597207552,7272,0
132,865718153858494464,4923,23270
133,865359393868664832,4364,23966
134,865006731092295680,6762,25426
135,864873206498414592,7577,29218
136,864279568663928832,2620,13263
137,864197398364647424,7698,27052
138,863907417377173506,3640,18732
139,863553081350529029,3682,13869
140,863471782782697472,2114,0
141,863432100342583297,4619,21634
142,863427515083354112,81,1985
143,863079547188785154,971,8008
144,863062471531167744,2114,7635
145,862831371563274240,4524,17447
146,862722525377298433,3130,15563
147,862457590147678208,4309,18523
148,862096992088072192,20284,67269
149,861383897657036800,9411,32761
150,861288531465048066,3644,15576
151,861005113778896900,3379,15229
152,860981674716409858,1876,0
153,860924035999428608,689,0
154,860563773140209665,1876,6828
155,860524505164394496,4675,21579
156,860276583193509888,3115,16848
157,860184849394610176,5184,15219
158,860177593139703809,27221,0
159,859924526012018688,3637,17922
160,859851578198683649,3119,14165
161,859607811541651456,1376,17080
162,859196978902773760,26699,81839
163,859074603037188101,12141,30889
